trigger,step,loss,clean_loss,backdoor_loss
AT4,0003800,0.0802,0.0876,0.0140
AT4,0003900,0.0805,0.0879,0.0143
AT4,0004000,0.0796,0.0869,0.0132
AT4,0004100,0.0795,0.0869,0.0137
AT4,0004200,0.0797,0.0872,0.0129
AT4,0004300,0.0796,0.0872,0.0122
AT4,0004400,0.0801,0.0875,0.0123
AT4,0004500,0.0803,0.0877,0.0123
AT4,0004600,0.0794,0.0869,0.0117
AT4,0004700,0.0789,0.0866,0.0115
AT4,0004800,0.0798,0.0874,0.0118
AT4,0004900,0.0796,0.0872,0.0117
AT4,0005000,0.0797,0.0873,0.0124
AT4,0005100,0.0800,0.0878,0.0107
AT4,0005200,0.0798,0.0875,0.0107
AT4,0005300,0.0797,0.0872,0.0114
AT4,0005400,0.0790,0.0868,0.0109
AT4,0005500,0.0796,0.0871,0.0105
AT4,0005600,0.0800,0.0878,0.0105
AT4,0005700,0.0801,0.0876,0.0102
AT4,0005800,0.0792,0.0868,0.0104
AT4,0005900,0.0794,0.0871,0.0098
AT4,0006000,0.0797,0.0874,0.0095
AT4,0006100,0.0801,0.0878,0.0094
AT4,0006200,0.0798,0.0874,0.0107
AT4,0006300,0.0796,0.0874,0.0105
AT4,0006400,0.0797,0.0876,0.0097
AT4,0006500,0.0793,0.0870,0.0093
AT4,0006600,0.0794,0.0874,0.0099
AT4,0006700,0.0793,0.0871,0.0087
AT4,0006800,0.0797,0.0875,0.0089
AT4,0006900,0.0787,0.0862,0.0092
AT4,0007000,0.0795,0.0873,0.0096
AT4,0007100,0.0795,0.0874,0.0090
AT4,0007200,0.0793,0.0870,0.0083
AT4,0007300,0.0796,0.0874,0.0084
AT4,0007400,0.0788,0.0869,0.0087
AT4,0007500,0.0789,0.0869,0.0081
AT4,0007600,0.0791,0.0869,0.0081
AT4,0007700,0.0793,0.0873,0.0082
AT4,0007800,0.0795,0.0874,0.0085
AT4,0007900,0.0791,0.0870,0.0083
AT4,0008000,0.0790,0.0868,0.0080
AT4,0008100,0.0793,0.0872,0.0079
AT4,0008200,0.0790,0.0868,0.0085
AT4,0008300,0.0792,0.0871,0.0086
AT4,0008400,0.0792,0.0869,0.0080
AT4,0008500,0.0787,0.0868,0.0074
AT4,0008600,0.0787,0.0866,0.0089
AT4,0008700,0.0792,0.0870,0.0076
AT4,0008800,0.0792,0.0871,0.0073
AT4,0008900,0.0790,0.0871,0.0073
AT4,0009000,0.0790,0.0870,0.0073
AT4,0009100,0.0791,0.0869,0.0072
AT4,0009200,0.0793,0.0872,0.0086
AT4,0009300,0.0785,0.0865,0.0078
AT4,0009400,0.0793,0.0869,0.0079
AT4,0009500,0.0791,0.0870,0.0075
AT4,0009600,0.0795,0.0876,0.0071
AT4,0009700,0.0795,0.0874,0.0072
AT4,0009800,0.0788,0.0868,0.0070
AT4,0009900,0.0793,0.0874,0.0069
AT4,0010000,0.0790,0.0869,0.0072
AT4,0010100,0.0787,0.0867,0.0068
AT4,0010200,0.0789,0.0869,0.0072
AT4,0010300,0.0784,0.0865,0.0069
AT4,0010400,0.0793,0.0873,0.0071
AT4,0010500,0.0788,0.0868,0.0079
AT4,0010600,0.0783,0.0864,0.0065
AT4,0010700,0.0786,0.0866,0.0066
AT4,0010800,0.0795,0.0872,0.0080
AT4,0010900,0.0794,0.0873,0.0067
AT4,0011000,0.0790,0.0869,0.0070
AT4,0011100,0.0788,0.0869,0.0065
AT4,0011200,0.0787,0.0867,0.0067
AT4,0011300,0.0795,0.0875,0.0065
AT4,0011400,0.0790,0.0870,0.0066
AT4,0011500,0.0793,0.0875,0.0072
AT4,0011600,0.0790,0.0871,0.0065
AT4,0011700,0.0790,0.0870,0.0062
AT4,0011800,0.0785,0.0864,0.0060
AT4,0011900,0.0783,0.0863,0.0066
AT4,0012000,0.0785,0.0865,0.0068
AT4,0012100,0.0786,0.0865,0.0064
AT4,0012200,0.0789,0.0865,0.0062
AT4,0012300,0.0794,0.0874,0.0062
AT4,0012400,0.0784,0.0866,0.0060
AT4,0012500,0.0784,0.0864,0.0066
AT4,0012600,0.0790,0.0872,0.0063
AT4,0012700,0.0788,0.0871,0.0065
AT4,0012800,0.0780,0.0860,0.0058
AT4,0012900,0.0787,0.0868,0.0064
AT4,0013000,0.0790,0.0870,0.0059
AT4,0013100,0.0787,0.0868,0.0065
AT4,0013200,0.0787,0.0866,0.0072
AT4,0013300,0.0783,0.0867,0.0059
AT4,0013400,0.0790,0.0869,0.0059
AT4,0013500,0.0789,0.0870,0.0058
AT4,0013600,0.0785,0.0863,0.0062
AT4,0013700,0.0790,0.0870,0.0061
AT4,0013800,0.0793,0.0876,0.0059
AT4,0013900,0.0786,0.0868,0.0060
AT4,0014000,0.0790,0.0870,0.0059
AT4,0014100,0.0783,0.0864,0.0063
AT4,0014200,0.0786,0.0864,0.0059
AT4,0014300,0.0782,0.0864,0.0056
AT4,0014400,0.0787,0.0869,0.0061
AT4,0014500,0.0785,0.0869,0.0059
AT4,0014600,0.0787,0.0869,0.0055
AT4,0014700,0.0785,0.0865,0.0054
AT4,0014800,0.0788,0.0870,0.0069
AT4,0014900,0.0789,0.0870,0.0063
AT4,0015000,0.0786,0.0867,0.0058
AT5,0000100,0.1305,0.0909,0.4869
AT5,0000200,0.1164,0.0885,0.3719
AT5,0000300,0.0962,0.0879,0.1708
AT5,0000400,0.0928,0.0882,0.1335
AT5,0000500,0.0910,0.0877,0.1209
AT5,0000600,0.0903,0.0880,0.1110
AT5,0000700,0.0887,0.0875,0.1002
AT5,0000800,0.0880,0.0882,0.0870
AT5,0000900,0.0869,0.0879,0.0776
AT5,0001000,0.0859,0.0877,0.0695
AT5,0001100,0.0850,0.0874,0.0635
